,er,er_80,er_90,er_95,ts_80,ts_90,ts_95
0,0.40000000596,0.366666674614,0.361111104488,,30.0,36.0,
1,0.379999995232,0.40000000596,0.382978737354,,45.0,47.0,
2,0.259999990463,0.239999994636,0.24137930572,0.277777791023,25.0,29.0,36.0
3,0.239999994636,0.181818187237,0.192307695746,0.185185179114,22.0,26.0,27.0
4,0.280000001192,0.285714298487,0.266666680574,0.264705896378,28.0,30.0,34.0
5,0.300000011921,0.15000000596,0.166666671634,0.178571432829,20.0,24.0,28.0
6,0.319999992847,0.310344815254,0.290322571993,0.272727280855,29.0,31.0,33.0
7,0.300000011921,0.291666656733,0.269230782986,0.25,24.0,26.0,28.0
8,0.20000000298,0.263157904148,0.238095238805,0.217391297221,19.0,21.0,23.0
9,0.159999996424,0.166666671634,0.15000000596,0.136363640428,18.0,20.0,22.0
10,0.300000011921,0.239999994636,0.258064508438,0.242424249649,25.0,31.0,33.0
11,0.159999996424,0.0666666701436,0.0588235296309,0.0526315793395,15.0,17.0,19.0
12,0.319999992847,0.15000000596,0.222222223878,0.309523820877,20.0,27.0,42.0
13,0.300000011921,0.354838699102,0.351351350546,0.333333343267,31.0,37.0,39.0
14,0.300000011921,0.280000001192,0.25925925374,0.24137930572,25.0,27.0,29.0
15,0.319999992847,0.15000000596,0.222222223878,0.257142871618,20.0,27.0,35.0
16,0.319999992847,0.351351350546,0.357142865658,0.340909093618,37.0,42.0,44.0
17,0.219999998808,0.133333340287,0.117647059262,0.105263158679,15.0,17.0,19.0
18,0.439999997616,,,,,,
19,0.360000014305,0.352941185236,0.342105269432,0.333333343267,34.0,38.0,39.0
20,0.280000001192,0.290322571993,0.285714298487,0.277777791023,31.0,35.0,36.0
21,0.219999998808,0.157894730568,0.142857149243,0.130434781313,19.0,21.0,23.0
22,0.340000003576,0.357142865658,0.34375,0.323529422283,28.0,32.0,34.0
23,0.419999986887,0.386363625526,,,44.0,,
24,0.300000011921,0.333333343267,0.3125,0.315789461136,30.0,32.0,38.0
25,0.379999995232,0.342105269432,,,38.0,,
26,0.259999990463,0.239999994636,0.24137930572,0.242424249649,25.0,29.0,33.0
27,0.280000001192,0.3125,0.29411765933,0.277777791023,32.0,34.0,36.0
28,0.40000000596,0.435897439718,0.414634138346,0.404255330563,39.0,41.0,47.0
29,0.340000003576,0.307692319155,0.300000011921,0.314285725355,26.0,30.0,35.0
30,0.319999992847,0.238095238805,0.217391297221,0.222222223878,21.0,23.0,27.0
31,0.419999986887,0.388888895512,0.368421047926,,36.0,38.0,
32,0.219999998808,0.25925925374,0.24137930572,0.242424249649,27.0,29.0,33.0
33,0.360000014305,0.371428579092,0.351351350546,0.355555564165,35.0,37.0,45.0
34,0.219999998808,0.217391297221,0.222222223878,0.206896558404,23.0,27.0,29.0
35,0.300000011921,0.333333343267,0.324324309826,0.307692319155,33.0,37.0,39.0
36,0.20000000298,0.181818187237,0.166666671634,0.178571432829,22.0,24.0,28.0
37,0.300000011921,0.15000000596,0.233333334327,0.263157904148,20.0,30.0,38.0
38,0.259999990463,0.227272734046,0.208333328366,0.258064508438,22.0,24.0,31.0
39,0.239999994636,0.291666656733,0.269230782986,0.25925925374,24.0,26.0,27.0
40,0.239999994636,0.166666671634,0.15000000596,0.136363640428,18.0,20.0,22.0
41,0.360000014305,0.395348846912,0.377777785063,0.361702114344,43.0,45.0,47.0
42,0.379999995232,0.3125,0.37209302187,0.361702114344,32.0,43.0,47.0
43,0.280000001192,0.117647059262,0.105263158679,0.130434781313,17.0,19.0,23.0
44,0.300000011921,0.157894730568,0.142857149243,0.185185179114,19.0,21.0,27.0
45,0.340000003576,0.352941185236,0.34999999404,0.333333343267,34.0,40.0,42.0
46,0.300000011921,0.34375,0.323529422283,0.305555552244,32.0,34.0,36.0
47,0.340000003576,0.351351350546,0.341463416815,0.325581401587,37.0,41.0,43.0
48,0.340000003576,0.280000001192,0.3125,0.29411765933,25.0,32.0,34.0
49,0.239999994636,0.20000000298,0.25925925374,0.24137930572,20.0,27.0,29.0
50,0.340000003576,0.361111104488,0.37209302187,0.355555564165,36.0,43.0,45.0
51,0.259999990463,0.291666656733,0.285714298487,0.266666680574,24.0,28.0,30.0
52,0.259999990463,0.157894730568,0.142857149243,0.159999996424,19.0,21.0,25.0
53,0.300000011921,0.342857152224,0.333333343267,0.31707316637,35.0,39.0,41.0
54,0.40000000596,0.425531923771,0.408163279295,,47.0,49.0,
55,0.239999994636,0.0714285746217,0.0625,0.0555555559695,14.0,16.0,18.0
56,0.360000014305,0.285714298487,0.333333343267,0.31707316637,28.0,39.0,41.0
57,0.300000011921,0.166666671634,0.15000000596,0.192307695746,18.0,20.0,26.0
58,0.360000014305,0.319999992847,0.296296298504,0.377777785063,25.0,27.0,45.0
59,0.300000011921,0.20000000298,0.275862067938,0.258064508438,20.0,29.0,31.0
60,0.319999992847,0.269230782986,0.25,0.315789461136,26.0,28.0,38.0
61,0.379999995232,0.40000000596,0.380952388048,0.369565218687,40.0,42.0,46.0
62,0.319999992847,0.310344815254,0.303030312061,0.307692319155,29.0,33.0,39.0
63,0.280000001192,0.333333343267,0.315789461136,0.300000011921,36.0,38.0,40.0
64,0.259999990463,0.296296298504,0.303030312061,0.297297298908,27.0,33.0,37.0
65,0.239999994636,0.321428567171,0.3125,0.29411765933,28.0,32.0,34.0
66,0.379999995232,0.404761910439,0.386363625526,0.369565218687,42.0,44.0,46.0
67,0.259999990463,0.15000000596,0.214285716414,0.20000000298,20.0,28.0,30.0
68,0.259999990463,0.304347813129,0.280000001192,0.25925925374,23.0,25.0,27.0
69,0.259999990463,0.157894730568,0.173913046718,0.192307695746,19.0,23.0,26.0
70,0.239999994636,0.20000000298,0.181818187237,0.166666671634,20.0,22.0,24.0
71,0.460000008345,,,,,,
72,0.340000003576,0.333333343267,0.347826093435,0.340425521135,36.0,46.0,47.0
73,0.319999992847,0.375,0.368421047926,0.34999999404,32.0,38.0,40.0
74,0.300000011921,0.269230782986,0.25,0.233333334327,26.0,28.0,30.0
75,0.180000007153,0.20000000298,0.181818187237,0.166666671634,20.0,22.0,24.0
76,0.259999990463,0.239999994636,0.28125,0.277777791023,25.0,32.0,36.0
77,0.259999990463,0.157894730568,0.222222223878,0.242424249649,19.0,27.0,33.0
78,0.340000003576,0.260869562626,0.25925925374,0.314285725355,23.0,27.0,35.0
79,0.300000011921,0.290322571993,0.272727280855,0.257142871618,31.0,33.0,35.0
80,0.180000007153,0.0666666701436,0.20000000298,0.185185179114,15.0,25.0,27.0
81,0.239999994636,0.305555552244,0.289473682642,0.282051295042,36.0,38.0,39.0
82,0.280000001192,0.296296298504,0.275862067938,0.285714298487,27.0,29.0,35.0
83,0.159999996424,0.20000000298,0.181818187237,0.166666671634,20.0,22.0,24.0
84,0.419999986887,0.352941185236,0.34999999404,,34.0,40.0,
85,0.419999986887,0.387096762657,0.371428579092,0.35897436738,31.0,35.0,39.0
86,0.340000003576,0.3125,0.324999988079,0.309523820877,32.0,40.0,42.0
87,0.40000000596,0.395348846912,0.377777785063,,43.0,45.0,
88,0.319999992847,0.3125,0.333333343267,0.31707316637,32.0,39.0,41.0
89,0.300000011921,0.25925925374,0.258064508438,0.242424249649,27.0,31.0,33.0
90,0.280000001192,0.285714298487,0.28125,0.277777791023,28.0,32.0,36.0
91,0.280000001192,0.0,0.0588235296309,0.095238097012,13.0,17.0,21.0
92,0.340000003576,0.352941185236,0.34999999404,0.340909093618,34.0,40.0,44.0
93,0.360000014305,0.269230782986,0.266666680574,0.367346942425,26.0,30.0,49.0
94,0.300000011921,0.296296298504,0.290322571993,0.297297298908,27.0,31.0,37.0
95,0.300000011921,0.354838699102,0.342857152224,0.324324309826,31.0,35.0,37.0
96,0.300000011921,0.239999994636,0.24137930572,0.297297298908,25.0,29.0,37.0
97,0.239999994636,0.272727280855,0.296296298504,0.314285725355,22.0,27.0,35.0
98,0.180000007153,0.25,0.227272734046,0.208333328366,20.0,22.0,24.0
