,actions,states,ts
0,0,0,15
1,0,0,16
2,2,0,17
3,0,1,14
4,2,1,18
5,2,1,31
6,2,1,33
7,1,2,12
8,0,2,13
9,2,2,19
10,1,2,29
11,0,2,30
12,0,2,32
13,2,2,34
14,1,2,47
15,2,2,48
16,1,2,50
17,0,3,11
18,2,3,20
19,1,3,23
20,1,3,24
21,1,3,25
22,1,3,26
23,0,3,27
24,1,3,27
25,0,3,28
26,2,3,35
27,2,3,37
28,1,3,39
29,2,3,40
30,2,3,44
31,0,3,46
32,0,3,49
33,1,4,9
34,0,4,10
35,1,4,21
36,0,4,22
37,0,4,36
38,0,4,38
39,2,4,41
40,0,4,43
41,0,4,45
42,0,5,8
43,0,5,42
44,1,6,4
45,2,6,5
46,0,6,7
47,0,7,3
48,0,7,6
49,0,8,0
50,1,8,1
51,0,8,2
